URL,favorite,comment,like
https://www.gocomics.com/calvinandhobbes/1986/08/08,57,7,7
https://www.gocomics.com/calvinandhobbes/1986/08/09,25,5,3
https://www.gocomics.com/calvinandhobbes/1986/08/10,41,6,6
https://www.gocomics.com/calvinandhobbes/1986/08/11,39,4,5
https://www.gocomics.com/calvinandhobbes/1986/08/12,45,5,7
https://www.gocomics.com/calvinandhobbes/1986/08/13,33,6,5
https://www.gocomics.com/calvinandhobbes/1986/08/14,42,9,7
https://www.gocomics.com/calvinandhobbes/1986/08/15,21,6,3
https://www.gocomics.com/calvinandhobbes/1986/08/16,29,8,5
https://www.gocomics.com/calvinandhobbes/1986/08/17,88,10,14
https://www.gocomics.com/calvinandhobbes/1986/08/18,33,7,6
https://www.gocomics.com/calvinandhobbes/1986/08/19,71,9,10
https://www.gocomics.com/calvinandhobbes/1986/08/20,50,5,6
https://www.gocomics.com/calvinandhobbes/1986/08/21,36,7,6
https://www.gocomics.com/calvinandhobbes/1986/08/22,33,8,2
https://www.gocomics.com/calvinandhobbes/1986/08/23,35,7,6
https://www.gocomics.com/calvinandhobbes/1986/08/24,33,4,2
https://www.gocomics.com/calvinandhobbes/1986/08/25,14,8,1
https://www.gocomics.com/calvinandhobbes/1986/08/26,54,11,10
https://www.gocomics.com/calvinandhobbes/1986/08/27,17,6,3
https://www.gocomics.com/calvinandhobbes/1986/08/28,27,7,3
https://www.gocomics.com/calvinandhobbes/1986/08/29,67,12,8
https://www.gocomics.com/calvinandhobbes/1986/08/30,69,7,11
https://www.gocomics.com/calvinandhobbes/1986/08/31,48,8,8
https://www.gocomics.com/calvinandhobbes/1986/09/01,41,9,7
https://www.gocomics.com/calvinandhobbes/1986/09/02,26,6,2
https://www.gocomics.com/calvinandhobbes/1986/09/03,18,8,4
https://www.gocomics.com/calvinandhobbes/1986/09/04,21,8,3
https://www.gocomics.com/calvinandhobbes/1986/09/05,16,6,2
https://www.gocomics.com/calvinandhobbes/1986/09/06,20,5,3
https://www.gocomics.com/calvinandhobbes/1986/09/07,40,8,5
https://www.gocomics.com/calvinandhobbes/1986/09/08,61,8,9
